mode,initial_label_count,setup,evaluation_dataset,outer_fold_id,strategy,random_final_F1,strategy_final_F1,final_F1_delta_vs_random,win_vs_random
benchmark,40,ensemble_calibrated,validation,1,similarity_penalized_mean,0.8470588235294118,0.8648648648648648,0.01780604133545305,True
benchmark,40,ensemble_calibrated,validation,1,ucb,0.8470588235294118,0.8571428571428571,0.010084033613445342,True
benchmark,40,ensemble_calibrated,holdout,1,cluster_diverse_representative,0.8490566037735849,0.7777777777777777,-0.07127882599580726,False
benchmark,40,ensemble_calibrated,holdout,1,ensemble_mean,0.8490566037735849,0.8043478260869565,-0.0447087776866284,False
benchmark,40,ensemble_calibrated,holdout,1,ensemble_mi,0.8490566037735849,0.822429906542056,-0.026626697231528884,False
benchmark,40,ensemble_calibrated,holdout,1,family_qbc,0.8490566037735849,0.8181818181818182,-0.030874785591766707,False
benchmark,40,ensemble_calibrated,holdout,1,hybrid_mi_diverse,0.8490566037735849,0.7878787878787878,-0.061177815894797094,False
benchmark,40,ensemble_calibrated,holdout,1,oed_logdet,0.8490566037735849,0.8089887640449438,-0.04006783972864114,False
benchmark,40,ensemble_calibrated,holdout,1,predictive_entropy,0.8490566037735849,0.830188679245283,-0.018867924528301994,False
benchmark,40,ensemble_calibrated,holdout,1,similarity_penalized_mean,0.8490566037735849,0.691358024691358,-0.15769857908222695,False
benchmark,40,ensemble_calibrated,holdout,1,ucb,0.8490566037735849,0.7727272727272727,-0.07632933104631223,False
benchmark,10,ensemble_calibrated,validation,2,cluster_diverse_representative,0.8648648648648648,0.8717948717948718,0.006930006930007004,True
benchmark,10,ensemble_calibrated,validation,2,ensemble_mean,0.8648648648648648,0.8470588235294118,-0.01780604133545305,False
benchmark,10,ensemble_calibrated,validation,2,ensemble_mi,0.8648648648648648,0.9,0.03513513513513522,True
benchmark,10,ensemble_calibrated,validation,2,family_qbc,0.8648648648648648,0.8539325842696629,-0.010932280595201904,False
benchmark,10,ensemble_calibrated,validation,2,hybrid_mi_diverse,0.8648648648648648,0.891566265060241,0.026701400195376146,True
benchmark,10,ensemble_calibrated,validation,2,oed_logdet,0.8648648648648648,0.8860759493670887,0.021211084502223865,True
benchmark,10,ensemble_calibrated,validation,2,predictive_entropy,0.8648648648648648,0.8780487804878048,0.013183915622939968,True
benchmark,10,ensemble_calibrated,validation,2,similarity_penalized_mean,0.8648648648648648,0.8421052631578948,-0.02275960170697,False
benchmark,10,ensemble_calibrated,validation,2,ucb,0.8648648648648648,0.8333333333333333,-0.03153153153153154,False
benchmark,10,ensemble_calibrated,holdout,2,cluster_diverse_representative,0.8541666666666666,0.8686868686868686,0.014520202020201989,True
benchmark,10,ensemble_calibrated,holdout,2,ensemble_mean,0.8541666666666666,0.8712871287128714,0.017120462046204765,True
benchmark,10,ensemble_calibrated,holdout,2,ensemble_mi,0.8541666666666666,0.8737864077669903,0.019619741100323718,True
benchmark,10,ensemble_calibrated,holdout,2,family_qbc,0.8541666666666666,0.8623853211009174,0.008218654434250738,True
benchmark,10,ensemble_calibrated,holdout,2,hybrid_mi_diverse,0.8541666666666666,0.8627450980392156,0.008578431372548989,True
benchmark,10,ensemble_calibrated,holdout,2,oed_logdet,0.8541666666666666,0.8599999999999999,0.005833333333333246,True
benchmark,10,ensemble_calibrated,holdout,2,predictive_entropy,0.8541666666666666,0.8282828282828283,-0.025883838383838342,False
