mode,initial_label_count,setup,strategy,evaluation_dataset,n_repeats,mean_final_F1,std_final_F1,median_final_F1,min_final_F1,max_final_F1,mean_AULC_F1,std_AULC_F1,mean_final_PR_AUC,mean_final_ROC_AUC,mean_final_Brier,mean_final_ECE_10
ablation,40,ensemble_calibrated,similarity_penalized_mean,holdout,5,0.8185247070353281,0.07454348287121011,0.8505747126436782,0.691358024691358,0.8737864077669903,0.8067884012956373,0.026284234460052472,0.9099745778079764,0.8349174800354925,0.15182341475338057,0.109098086311654
ablation,40,ensemble_calibrated,similarity_penalized_mean,validation,5,0.8758480954011301,0.023476288900815864,0.88,0.8444444444444444,0.9024390243902439,0.8685433943631246,0.02590612507962337,0.9336313607760536,0.8676315789473683,0.13627261065849733,0.10726694964856183
ablation,40,ensemble_raw,cluster_diverse_representative,holdout,5,0.8434757306185878,0.04138510608568166,0.8380952380952381,0.7912087912087912,0.8979591836734694,0.8174102806529303,0.02554824129944181,0.9117747700926989,0.8468537414965986,0.14652817556729786,0.09909841235018152
ablation,40,ensemble_raw,cluster_diverse_representative,validation,5,0.8901221371443148,0.05015206504829769,0.8607594936708861,0.840909090909091,0.9487179487179489,0.8806741472087907,0.03442322373357636,0.9474900847294057,0.8871052631578948,0.12535819324676306,0.10010176609254491
ablation,40,ensemble_raw,ensemble_mean,holdout,5,0.8270780895849615,0.03477865009303003,0.823529411764706,0.7912087912087912,0.8653846153846154,0.8128562505677431,0.023387913956750907,0.9131552090065505,0.8405662525879917,0.16087814359763966,0.1322018225966604
ablation,40,ensemble_raw,ensemble_mean,validation,5,0.8767800744998769,0.03043448492063092,0.8717948717948718,0.8421052631578948,0.9090909090909091,0.8710253410244271,0.024632416302241805,0.9328471745648367,0.8660526315789474,0.1406007088617419,0.1322781897153137
ablation,40,ensemble_raw,oed_logdet,holdout,5,0.8519138208459933,0.02748105974758469,0.8599999999999999,0.8043478260869565,0.8712871287128714,0.8246511277322683,0.02694928738658005,0.921403236664383,0.8582583555161195,0.14466685138930602,0.1233234697662057
ablation,40,ensemble_raw,oed_logdet,validation,5,0.8892640770852152,0.03267365750288263,0.88,0.85,0.9382716049382716,0.8789961937101205,0.027567948155368505,0.9456553422876073,0.8855263157894736,0.12464446840249406,0.12171368641620976
ablation,40,ensemble_raw,predictive_entropy,holdout,5,0.8444276150899995,0.02567691246564242,0.830188679245283,0.8288288288288288,0.888888888888889,0.8280473061460641,0.013991092165683198,0.9162139727952787,0.8493090801538006,0.14333026425940815,0.0959822608682512
ablation,40,ensemble_raw,predictive_entropy,validation,5,0.8946312841498999,0.03956636042054547,0.8735632183908046,0.857142857142857,0.9382716049382716,0.8859549906853686,0.030286697997502682,0.9503208649448116,0.893157894736842,0.12559913814340315,0.11919449563311824
